instance,path,configuration,suppression_state,transform_4x4
"法兰轴承F698 8-19-6-改1.15-10","D:\WheelLeg\法兰轴承F698 8-19-6-改1.15.SLDPRT","默认","2","-1.6653345369377343E-16;0.29362344044234345;0.95592116579914765;-1;-6.7554681756779459E-16;3.3290325812332763E-17;6.5554432139977403E-16;-0.95592116579914765;0.29362344044234345;0.17650000000000002;-0.23200194434282628;0.10258034605834282;1;0;0;0"
"C620无刷电机调速器-改1.15-1","D:\WheelLeg\C620无刷电机调速器-改1.15.SLDASM","默认","2","2.1475048645963197E-16;0.77567498166418991;-0.63113257150955115;-1;-3.1901384763447409E-16;-7.3233670347360719E-16;-7.6939528904360525E-16;0.63113257150955115;0.77567498166418991;0.19239999999999982;-0.068492100880942777;-0.052148926820117285;1;0;0;0"
"C620无刷电机调速器-改1.15-1/C620无刷电机调速器.STEP-1","C:\Users\20939\AppData\Local\Temp\swx21600\IC~~\C620无刷电机调速器.STEP.SLDASM","默认","2","2.1475048645963197E-16;0.77567498166418991;-0.63113257150955115;-1;-3.1901384763447409E-16;-7.3233670347360719E-16;-7.6939528904360525E-16;0.63113257150955115;0.77567498166418991;0.19239999999999982;-0.068492100880942777;-0.052148926820117285;1;0;0;0"
"C620无刷电机调速器-改1.15-1/C620无刷电机调速器.STEP-1/C620无刷电机调速器.STEP.STEP-1","C:\Users\20939\AppData\Local\Temp\swx21600\IC~~\C620无刷电机调速器.STEP.STEP.SLDASM","默认","2","2.1475048645963197E-16;0.77567498166418991;-0.63113257150955115;-1;-3.1901384763447409E-16;-7.3233670347360719E-16;-7.6939528904360525E-16;0.63113257150955115;0.77567498166418991;0.19239999999999982;-0.068492100880942777;-0.052148926820117285;1;0;0;0"
"C620无刷电机调速器-改1.15-1/C620无刷电机调速器.STEP-1/C620无刷电机调速器.STEP.STEP-1/8.STEP.STEP-1","C:\Users\20939\AppData\Local\Temp\swx21600\IC~~\8.STEP.STEP.SLDPRT","默认","2","1;3.1901384763447409E-16;7.3233670347360719E-16;2.1475048645963197E-16;0.77567498166418991;-0.63113257150955115;-7.6939528904360525E-16;0.63113257150955115;0.77567498166418991;0.19299999999999981;-0.069810748349771898;-0.051076001448551046;1;0;0;0"
"C620无刷电机调速器-改1.15-1/C620无刷电机调速器.STEP-1/C620无刷电机调速器.STEP.STEP-1/6.STEP.STEP-1","C:\Users\20939\AppData\Local\Temp\swx21600\IC~~\6.STEP.STEP.SLDPRT","默认","2","0.4316667909164813;0.56930249382224796;0.69968453759364735;-0.90203313776150529;0.27243897178639476;0.3348331301291812;-2.1475048645963197E-16;-0.77567498166418991;0.63113257150955115;0.15257399825701184;-0.074894787580509894;-0.056532203825884086;1;0;0;0"
"C620无刷电机调速器-改1.15-1/C620无刷电机调速器.STEP-1/C620无刷电机调速器.STEP.STEP-1/7.STEP.STEP-1","C:\Users\20939\AppData\Local\Temp\swx21600\IC~~\7.STEP.STEP.SLDPRT","默认","2","2.1475048645963197E-16;0.77567498166418991;-0.63113257150955115;-1;-3.1901384763447409E-16;-7.3233670347360719E-16;-7.6939528904360525E-16;0.63113257150955115;0.77567498166418991;0.19179999999999983;-0.069810748349771898;-0.051076001448551046;1;0;0;0"
"C620无刷电机调速器-改1.15-1/C620无刷电机调速器.STEP-1/C620无刷电机调速器.STEP.STEP-1/2.STEP.STEP-1","C:\Users\20939\AppData\Local\Temp\swx21600\IC~~\2.STEP.STEP.SLDPRT","默认","2","7.6939528904360525E-16;-0.63113257150955115;-0.77567498166418991;-2.1475048645963197E-16;-0.77567498166418991;0.63113257150955115;-1;-3.1901384763447409E-16;-7.3233670347360719E-16;0.19300141999999981;-0.050206219571385699;-0.054393243488971586;1;0;0;0"
"C620无刷电机调速器-改1.15-1/C620无刷电机调速器.STEP-1/C620无刷电机调速器.STEP.STEP-1/5.STEP.STEP-4","C:\Users\20939\AppData\Local\Temp\swx21600\IC~~\5.STEP.STEP.SLDPRT","默认","2","2.1475048645963197E-16;0.77567498166418991;-0.63113257150955115;-1;-3.1901384763447409E-16;-7.3233670347360719E-16;-7.6939528904360525E-16;0.63113257150955115;0.77567498166418991;0.19599999999999981;-0.086337371633892893;-0.051423453351337529;1;0;0;0"
"C620无刷电机调速器-改1.15-1/C620无刷电机调速器.STEP-1/C620无刷电机调速器.STEP.STEP-1/5.STEP.STEP-2","C:\Users\20939\AppData\Local\Temp\swx21600\IC~~\5.STEP.STEP.SLDPRT","默认","2","2.1475048645963197E-16;0.77567498166418991;-0.63113257150955115;-1;-3.1901384763447409E-16;-7.3233670347360719E-16;-7.6939528904360525E-16;0.63113257150955115;0.77567498166418991;0.19599999999999981;-0.048862777670165031;-0.054326005203368999;1;0;0;0"
"C620无刷电机调速器-改1.15-1/C620无刷电机调速器.STEP-1/C620无刷电机调速器.STEP.STEP-1/5.STEP.STEP-3","C:\Users\20939\AppData\Local\Temp\swx21600\IC~~\5.STEP.STEP.SLDPRT","默认","2","2.1475048645963197E-16;0.77567498166418991;-0.63113257150955115;-1;-3.1901384763447409E-16;-7.3233670347360719E-16;-7.6939528904360525E-16;0.63113257150955115;0.77567498166418991;0.19599999999999981;-0.07283113460358849;-0.034824008743723871;1;0;0;0"
